Class,Subclass2,Subclass3,Subclass4,Subclass5,Subclass6,Subclass7,Subclass8,nuclex_nid,parent_OBO,obo_id,obo_axiom,radlex_purl,radlex_axiom,playbook_rpid,umls_cui,umls_axiom,nci_thesaurus_code,nci_thesaurus_axiom,snomedct_code,snomedct_axiom,ibsi_code,ibsi_axiom,dicom_code,Other,Other_axiom,Measurement?,Assignment ID,Approver/Endorser ID,Comments,Synonyms,Definitions ,ro:has_part,ro:is_part_of,ro:uses,ro:is_made_of,ro:treats,ro:has_input,ro:has_output,ro:is_about,nuclex:is_theranostic_pair,nuclex:binds_to,nuclex:is_radiolabeled_analog_of,,,,,,,
procedure,,,,,,,,nuclex:000001,,,,http://www.radlex.org/RID/RID1559,oboInOwl:hasDbXref,,,, http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C79751,,http://purl.bioontology.org/ontology/SNOMEDCT/71388002,oboInOwl:hasDbXref,,,,,,,,1001;1002;1003,,"medical procedure, clinical procedure","Clinical actions performed on a patient for the purpose of diagnosis, therapy, or measurements.",,,,,,,,,,,,,,,,,,
,treatment,,,,,,,nuclex:000002,,http://purl.obolibrary.org/obo/OGMS_0000090,,http://www.radlex.org/RID/RID8,oboInOwl:hasDbXref,,,,,,,,,,,,,,,1001;1002;1003,,"intervention, healthcare intervention, therapy, therapeutic intervention, therapeutic procedure","The use of pharmaceutical agents, radiation, surgery, or other medical interventions intended to cure, ameliorate, or manage a disease, injury, or medical condition.",,,,,,,,,,,,,,,,,,
,,therapy,,,,,,nuclex:000003,,,,,,,,,,,http://purl.bioontology.org/ontology/SNOMEDCT/276239002,,,,,,,,1001;1002;1003,,,,,,,,,,,,,,,,,,,,,,
,,,radiopharmaceutical therapy,,,,,nuclex:000004,,,,,,,,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C192439,,"http://purl.bioontology.org/ontology/SNOMEDCT/399315003, http://purl.bioontology.org/ontology/SNOMEDCT/448288001",oboInOwl:hasDbXref,,,,,,,,1001;1002;1003,"In SNOMED, listed as ""radionuclide therapy"". ","radionuclide therapy, targeted radionuclide therapy, internal radiotherapy, radioisotope therapy, nuclear medicine therapy, molecular radiotherapy, endoradiotherapy, unsealed radionuclide therapy",A targeted medical treatment that administers unsealed radiolabeled agents to patients for internal radiation treatment.,,,,,,,,,,,,,,,,,,
,,,,prostate-specific membrane antigen radiopharmaceutical therapy,,,,nuclex:000005,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,"PSMA radiopharmaceutical therapy, PSMA RPT, PSMA therapy, lutetium PSMA therapy",A type of radiopharmaceutical therapy that targets cells expressing the prostate-specific membrane antigen. ,,,,,,,,,,,,,,,,,,
,,,,fibroblast activation protein inhibitor radiopharmaceutical therapy,,,,nuclex:000006,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,"FAPI therapy, FAP therapy","A targeted radiopharmaceutical therapy that uses radiolabeled inhibitors of fibroblast activation protein (FAP), an enzyme overexpressed in the stroma of many tumors.",,,,,,,,,,,,,,,,,,
,,,,peptide receptor radionuclide therapy,,,,nuclex:000007,,,,,,,,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C162449,,,,,,,,,,,1001;1002;1003,,"PRRT therapy, PRRT RPT","A type of radiopharmaceutical therapy that uses radiolabeled peptides, which bind to specific receptors on tumor cells, to deliver radiation.",,,,,,,,,,,,,,,,,,
,,,,,somatostatin receptor radiopharmaceutical therapy,,,nuclex:000008,,,,,,,,,,,,,,,,,,,,1001;1002;1003,,"DOTATATE therapy, DOTATOC therapy","A targeted radiopharmaceutical therapy that uses radiolabeled somatostatin analogs, which bind to somatostatin receptors overexpressed on certain tumor cells, such as neuroendocrine tumors.",,,,,,,,,,,,,,,,,,
,,,,radioligand therapy,,,,nuclex:000009,,,,,,,,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C201286,,,,,,,,,,,1001;1002;1003,,"RLT, molecular targeting radionuclide therapy","A type of radiopharmaceutical therapy that uses a radioligand, a small molecular construct consisting of a cell-targeting ligand linked to a radioactive molecule, to deliver radiation to tumor cells. ",,,,,,,,,,,,,,,,,,
,,,,radioiodine therapy,,,,nuclex:000010,,,,,,,C0203610,,http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C157968,,http://purl.bioontology.org/ontology/SNOMEDCT/64291000052106,oboInOwl:hasDbXref,,,,,,,,1001;1002;1003,,"sodium iodide therapy, iodine therapy, radioactive iodine therapy, RAI, iodine-131 therapy, sodium iodide thyroid ablation, I-131 thyroid ablation","A type of radiopharmaceutical therapy that uses radioactive iodine (iodine-131) to treat thyroid cancer, hyperthyroidism, and benign thyroid disease.",,,,,,,,,,,,,,,,,,
